"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 06월 27일","34,717.0","32,359.0","34,717.0","32,359.0","28.71K","7.29%"
"2021년 06월 26일","32,359.0","31,584.7","32,359.0","30,331.0","20.53K","2.45%"
"2021년 06월 25일","31,584.0","34,656.6","34,915.0","31,584.0","37.67K","-8.87%"
"2021년 06월 24일","34,656.6","33,703.0","35,137.2","32,530.0","4.86K","2.83%"
"2021년 06월 23일","33,703.0","32,553.0","34,196.0","32,553.0","9.14K","3.53%"
"2021년 06월 22일","32,553.0","31,761.0","33,300.0","29,927.0","26.87K","2.49%"
"2021년 06월 21일","31,761.0","35,631.0","35,631.0","31,475.0","23.45K","-10.86%"
"2021년 06월 20일","35,631.0","35,585.8","35,966.0","33,725.0","16.93K","0.13%"
"2021년 06월 19일","35,585.8","35,802.0","36,236.0","35,460.0","11.57K","-0.60%"
"2021년 06월 18일","35,802.0","38,061.0","38,061.0","35,490.0","11.42K","-5.94%"
"2021년 06월 17일","38,061.0","38,332.0","39,324.0","37,733.7","3.54K","-0.71%"
"2021년 06월 16일","38,332.0","40,139.0","40,394.0","38,332.0","6.79K","-4.50%"
"2021년 06월 15일","40,139.0","40,509.0","40,708.8","39,726.0","7.78K","-0.89%"
"2021년 06월 14일","40,500.0","39,004.0","40,732.0","38,812.0","9.73K","3.84%"
"2021년 06월 13일","39,004.0","35,531.0","39,021.1","34,984.0","8.99K","9.77%"
"2021년 06월 12일","35,531.0","37,338.0","37,338.0","35,185.0","7.38K","-4.84%"
"2021년 06월 11일","37,338.0","36,649.2","37,427.0","36,342.0","6.42K","1.88%"
"2021년 06월 10일","36,649.2","37,347.0","37,933.0","36,559.0","9.57K","-1.87%"
"2021년 06월 09일","37,347.0","33,415.0","37,490.0","32,673.0","26.97K","11.77%"
"2021년 06월 08일","33,415.0","33,596.0","33,744.8","31,547.6","12.92K","-0.54%"
"2021년 06월 07일","33,596.0","35,782.0","36,613.3","33,596.0","9.97K","-6.11%"
"2021년 06월 06일","35,782.0","35,543.0","36,238.0","35,496.0","6.51K","0.67%"
"2021년 06월 05일","35,543.0","36,844.0","37,690.3","35,296.0","6.59K","-3.56%"
"2021년 06월 04일","36,854.0","39,209.0","39,209.0","36,532.0","5.93K","-6.01%"
"2021년 06월 03일","39,209.0","37,590.0","39,209.0","37,371.0","5.75K","4.31%"
"2021년 06월 02일","37,590.0","36,672.6","38,053.0","36,192.3","3.97K","2.50%"
"2021년 06월 01일","36,672.6","37,305.0","37,624.8","35,928.0","5.29K","-1.70%"
"2021년 05월 31일","37,305.0","35,615.0","37,305.0","34,527.0","5.98K","4.75%"
"2021년 05월 30일","35,615.0","34,570.0","36,138.0","33,680.0","6.02K","3.02%"
"2021년 05월 29일","34,570.0","35,667.0","36,910.5","33,681.0","7.76K","-3.08%"
"2021년 05월 28일","35,667.0","38,484.7","38,484.7","35,028.0","10.22K","-7.20%"
"2021년 05월 27일","38,435.0","39,301.0","40,120.0","37,381.0","5.55K","-2.20%"
"2021년 05월 26일","39,301.0","38,363.0","40,497.8","38,020.2","8.61K","2.45%"
"2021년 05월 25일","38,363.0","38,772.9","39,761.0","36,760.5","7.77K","-1.06%"
"2021년 05월 24일","38,772.9","34,730.3","39,201.0","34,730.3","15.13K","11.64%"
"2021년 05월 23일","34,730.3","37,585.0","38,186.0","32,623.0","25.99K","-7.60%"
"2021년 05월 22일","37,585.0","37,415.0","38,662.0","36,150.0","13.56K","0.45%"
"2021년 05월 21일","37,415.0","40,550.1","41,500.0","35,188.0","23.31K","-7.79%"
"2021년 05월 20일","40,578.0","36,755.0","41,827.0","35,198.4","25.60K","10.40%"
"2021년 05월 19일","36,755.0","42,935.0","42,935.0","35,303.4","67.82K","-14.39%"
"2021년 05월 18일","42,935.0","43,544.0","45,474.0","42,611.8","10.72K","-1.40%"
"2021년 05월 17일","43,544.0","46,569.0","46,569.0","42,304.0","37.72K","-6.52%"
"2021년 05월 16일","46,582.9","46,784.9","49,460.0","45,340.0","19.06K","-0.43%"
"2021년 05월 15일","46,784.9","49,917.0","50,526.2","46,784.9","9.49K","-6.27%"
"2021년 05월 14일","49,917.0","49,747.0","51,168.0","49,289.0","6.05K","0.34%"
"2021년 05월 13일","49,747.0","49,725.0","51,154.0","48,120.6","21.16K","0.04%"
"2021년 05월 12일","49,725.0","56,715.0","57,688.0","49,725.0","14.96K","-12.32%"
"2021년 05월 11일","56,715.0","55,851.0","56,724.0","54,789.0","7.69K","1.55%"
"2021년 05월 10일","55,851.0","58,276.0","59,454.3","55,448.0","13.49K","-4.16%"
"2021년 05월 09일","58,276.0","58,894.0","58,956.5","56,977.0","8.48K","-1.05%"
"2021년 05월 08일","58,894.0","57,349.0","59,327.0","57,317.0","7.61K","2.69%"
"2021년 05월 07일","57,349.0","56,451.0","58,101.0","55,606.0","6.93K","1.59%"
"2021년 05월 06일","56,451.0","57,487.0","57,843.0","55,897.0","10.44K","-1.79%"
"2021년 05월 05일","57,477.0","52,960.0","57,477.0","52,960.0","7.66K","7.91%"
"2021년 05월 04일","53,264.0","57,147.0","57,147.0","53,264.0","10.03K","-6.79%"
"2021년 05월 03일","57,147.0","56,605.0","58,686.0","56,605.0","7.63K","0.96%"
"2021년 05월 02일","56,605.0","57,774.0","57,774.0","56,385.0","4.20K","-2.02%"
"2021년 05월 01일","57,774.0","57,634.7","58,265.0","57,259.0","4.32K","0.24%"
"2021년 04월 30일","57,637.0","53,566.0","57,637.0","53,339.0","7.86K","7.60%"
"2021년 04월 29일","53,566.0","54,860.0","54,860.0","52,631.0","7.08K","-2.36%"
"2021년 04월 28일","54,860.0","55,044.0","55,575.0","54,090.0","5.76K","-0.33%"
"2021년 04월 27일","55,044.0","54,103.0","55,215.0","53,660.0","7.24K","1.74%"
"2021년 04월 26일","54,103.0","49,129.0","54,214.0","49,129.0","11.01K","10.15%"
"2021년 04월 25일","49,116.3","50,167.0","50,539.0","48,409.8","9.60K","-2.09%"
"2021년 04월 24일","50,167.0","51,139.0","51,139.0","49,572.0","5.98K","-1.90%"
