,1,52,825,1027,1839,2010,3408,4172,4687,5426,other_total_market_cap,global
2019-09-02,174725137037.3624,11089356736.406368,4022101663.517624,18506970192.806396,3355466637.8098483,1154265937.5053408,452655304.07066154,0.0,0.0,0.0,38705549652.88436,252011503162.363
2019-09-09,187110557493.33978,11309999825.330559,4087478554.478752,19523183051.699554,3504831352.5611978,1211273284.6377807,443932368.4957528,0.0,0.0,0.0,40500026653.793625,267691282584.337
2019-09-16,185578448439.97928,11258429283.881142,4122268209.4602494,20473460441.20655,3204101092.7476425,1213994492.1930587,427213848.4567149,0.0,0.0,0.0,40128973953.31436,266406889761.239
2019-09-23,180777994058.38126,11995495471.668825,4118913753.582116,22831284617.42105,3177879233.02281,1272591877.831523,393140131.32002646,0.0,0.0,0.0,40872720285.53939,265440019428.767
2019-09-30,145513115036.49466,10393885360.83174,4126624374.9014077,18430749551.517704,2390559792.4713655,969308633.0531247,429134152.8991995,0.0,0.0,0.0,32283873284.8718,214537250187.041
2019-10-07,143472448846.8713,11115352941.19478,4155430386.0786276,18670853900.78982,2382891702.1340394,1017663072.4487087,479475218.7779556,0.0,0.0,0.0,33087442873.65377,214381558941.949
2019-10-14,149554484620.89917,11976682499.094572,4129134664.769018,19657318282.18121,2823925992.6479235,1073615378.2834756,468953175.96457714,0.0,10066549.118436757,0.0,34506103366.09662,224200284529.055
2019-10-21,148173746075.07672,12742034465.778595,4123329850.1861897,18993688511.357834,2868082637.52957,1025180091.8468552,474944099.99747986,152222401.38221017,11026823.412683876,0.0,34167893178.743862,222732148135.312
2019-10-28,172499579503.21695,12900401937.540905,4112579748.148013,19974475606.812504,3005673635.963471,1097890196.870743,475100401.92402977,139498457.35715362,21740162.75634179,0.0,38301279920.22389,252528219570.814
2019-11-04,166462316878.70947,12605256415.361286,4121622863.9280252,19776848051.26013,3146562744.3421154,1087051308.7704468,468157356.61543334,134166063.64119542,17411647.293791864,0.0,39253317873.59511,247072711203.517
2019-11-11,163364748174.1336,12118028403.945362,4117398151.420176,20575448877.775837,3184267425.43609,1141376747.2010682,453142619.73241234,116398936.40008944,22313461.35303772,0.0,41068966959.51233,246162089756.91
2019-11-18,154842353565.79153,11485721122.725677,4148789272.0322013,20115453047.232784,3161413821.29818,1176315774.562554,445470034.45714325,108804158.38280216,17956963.63422553,0.0,39690474709.727905,235192752469.845
2019-11-25,127004736593.3904,9700436596.469353,4171793760.649098,15555499462.013145,2378501772.478218,919345162.1308022,447384657.05806476,74415235.7998776,19629245.946309626,0.0,31383941577.326733,191655684063.262
2019-12-02,134282440140.98181,9768194189.874327,4113436229.8588967,16445303072.632725,2409083205.8363643,1026212349.8790772,454345623.7352973,81259501.49184832,17984574.83364965,0.0,33537680773.400005,202135939662.524
2019-12-09,136826716822.87526,9971227736.70025,4134401524.2752876,16477448862.78079,2438193526.519694,1009972011.0092852,465123469.2062413,76900527.68491526,18495587.058853857,0.0,33711311222.266422,205129791290.377
2019-12-16,129661328968.67361,9472848132.016142,4126699690.350651,15593818240.33146,2255605581.8961086,951201906.245355,476450258.6521888,76398980.50408769,17588693.60068218,0.0,32482384208.183716,195114324660.454
2019-12-23,136460710737.62898,8520247014.160406,4112109468.2563767,14416402305.13767,2151236105.9768386,890780003.8637127,519813511.1196268,76373443.78646389,17473275.013338022,0.0,31065115940.29059,198230261805.234
2019-12-30,134468662789.64447,8531189139.751885,4129292149.20023,14684041488.782894,2196935466.1656404,888946672.8162209,521668376.24339545,89046900.67716676,17103409.566041306,0.0,31401460362.801056,196928346755.649
2020-01-06,134460377957.16681,8473257516.328491,4138305629.9994197,14872554639.960596,2195989161.23723,901421254.4295715,518286149.8267146,69156543.70866978,17148260.052604925,0.0,32133285926.17589,197779783038.886
2020-01-13,148623400473.72607,9346323847.474318,4635219687.733536,16037333172.10849,2383212538.2884407,979934474.1109164,447745618.17706406,59762133.1658308,24012576.38222692,0.0,36308967245.70511,218845911766.872
2020-01-20,158321623201.4488,10281772080.443586,4630166776.470204,18263491100.68032,2701952125.3950405,1089201135.8381846,436424390.42788965,57719131.64026709,25478617.29372204,0.0,43077886264.37698,238885714824.015
2020-01-27,156499290530.4657,10063517335.927174,4640800499.950625,18402322184.117744,2723077294.1827,1158678938.4877446,448655968.3065725,53536682.0248464,23609092.655730575,0.0,43742268979.17616,237755757505.295
2020-02-03,170004469220.07935,10916971104.5191,4650474557.089267,20621480919.03447,2867191394.6039853,1442276625.3900907,446233612.70966667,58033997.06617443,16699788.069000179,0.0,48619623284.26589,259643454502.827
2020-02-10,184486166163.18625,12349003787.67859,4647607632.824515,25088078486.344303,3785645416.2256317,1600081837.3657684,432893661.9327326,64971506.54514945,29942258.00237235,0.0,57483013344.183685,289967404094.289
2020-02-17,180891431634.31958,12876932507.073584,4649851923.885869,28471676189.488014,3631596767.224652,1609787893.068193,431363298.9190117,73088383.35745697,17585536.164929364,0.0,55379279546.41471,288032593679.916
2020-02-24,180863880750.30246,12377251804.061407,4645808976.120521,30047602661.899357,3550211446.6609473,1594510319.9267943,420930163.8427022,75471656.78835298,59497369.66883433,0.0,55387402723.167625,289022567872.439
