주택유형,합계,단독주택,다가구주택,다세대주택,연립주택,아파트
2019년 11월,156846,11237,2119,16407,3685,123398
2019년 12월,187497,13037,2678,20267,4367,147148
2020년 01월,169836,10791,2136,16214,3570,137125
2020년 02월,187459,12090,2250,16738,3839,152542
2020년 03월,160156,11994,2420,17969,4052,123721
2020년 04월,114636,10989,1895,15298,3442,83012
2020년 05월,136211,12112,2028,15691,3849,102531
2020년 06월,202351,14557,2830,21548,5068,158348
2020년 07월,223118,17363,3350,24312,4872,173221
2020년 08월,141478,12655,2093,16194,3567,106969
2020년 09월,145100,10884,1828,15345,3199,113844
2020년 10월,148190,11892,1868,16699,3965,113766
2020년 11월,174634,13694,2281,16492,4230,137937
2020년 12월,218696,16762,2627,21341,5607,172359
2021년 01월,147062,10858,1756,17156,4020,113272
2021년 02월,141764,10576,1800,18302,3967,107119
2021년 03월,147786,14988,2146,20767,4422,105463
2021년 04월,155907,15280,2396,22725,4314,111192
2021년 05월,154949,15061,2548,22387,5132,109821
2021년 06월,144759,12658,2155,20782,3662,105502
2021년 07월,140102,11910,1933,19516,3958,102785
2021년 08월,133495,11705,1766,18129,3617,98278
2021년 09월,122333,10451,1800,17396,3187,89499
2021년 10월,119686,11055,1665,17395,3809,85762
2021년 11월,111172,11283,1812,16345,3391,78341
