기준분기,연령대,성별구분,소득추정등급,"신용관리대상등록총금액<미적용, 금액, 십만원>","신용관리대상등록총금액<미적용, 등록자수, 명>"
2010Q2,40대,남자,06,517989,393
2010Q2,40대,남자,07,2888132,1109
2010Q2,40대,남자,08,2664707,2480
2010Q2,40대,남자,09,861127,2205
2010Q2,40대,남자,10,1105977,1271
2010Q2,40대,남자,11,95569,808
2010Q2,40대,남자,12,5583,31
2010Q2,40대,남자,13,4916,24
2010Q2,40대,남자,14,7910,36
2010Q2,40대,남자,15,19675,28
2010Q2,40대,여자,00,304903,1377
2010Q2,40대,여자,01,47415,42
2010Q2,40대,여자,02,11361,20
2010Q2,40대,여자,03,68731,28
2010Q2,40대,여자,04,30242,22
2010Q2,40대,여자,05,49179,42
2010Q2,40대,여자,06,68988,49
2010Q2,40대,여자,07,110774,99
2010Q2,40대,여자,08,268569,310
2010Q2,40대,여자,09,520467,967
2010Q2,40대,여자,10,718459,1609
2010Q2,40대,여자,11,317857,929
2010Q2,40대,여자,12,166523,885
2010Q2,40대,여자,13,20857,111
2010Q2,40대,여자,14,13903,51
2010Q2,40대,여자,15,10610,39
2010Q2,50대,남자,00,1895418,1077
2010Q2,50대,남자,01,404804,38
2010Q2,50대,남자,02,30189,27
2010Q2,50대,남자,03,248425,55
2010Q2,50대,남자,04,180785,60
2010Q2,50대,남자,05,193234,118
2010Q2,50대,남자,06,635374,341
2010Q2,50대,남자,07,1210916,774
2010Q2,50대,남자,08,2517120,1578
2010Q2,50대,남자,09,776742,1074
2010Q2,50대,남자,10,1923207,896
2010Q2,50대,남자,11,96158,369
2010Q2,50대,남자,12,4540,7
2010Q2,50대,남자,13,6325,17
2010Q2,50대,남자,14,5043,16
2010Q2,50대,남자,15,7934,14
2010Q2,50대,여자,00,287991,839
2010Q2,50대,여자,01,10357,10
2010Q2,50대,여자,02,17979,11
2010Q2,50대,여자,03,17078,23
2010Q2,50대,여자,04,18600,19
2010Q2,50대,여자,05,22008,15
2010Q2,50대,여자,06,66569,25
2010Q2,50대,여자,07,149312,75
2010Q2,50대,여자,08,250790,278
2010Q2,50대,여자,09,690779,699
2010Q2,50대,여자,10,432317,1253
2010Q2,50대,여자,11,194279,420
2010Q2,50대,여자,12,112968,521
2010Q2,50대,여자,13,9739,17
2010Q2,50대,여자,14,5878,17
2010Q2,50대,여자,15,8081,15
2010Q2,60대,남자,00,210805,298
2010Q2,60대,남자,01,26294,4
2010Q2,60대,남자,02,132,1
2010Q2,60대,남자,03,23922,9
2010Q2,60대,남자,04,9920,5
2010Q2,60대,남자,05,53471,13
2010Q2,60대,남자,06,157036,53
2010Q2,60대,남자,07,452772,135
2010Q2,60대,남자,08,384066,270
2010Q2,60대,남자,09,321169,406
2010Q2,60대,남자,10,1620627,440
2010Q2,60대,남자,11,254792,170
2010Q2,60대,남자,12,43419,108
2010Q2,60대,남자,13,402,1
2010Q2,60대,남자,14,120,1
2010Q2,60대,남자,15,1184,3
2010Q2,60대,여자,00,78136,296
2010Q2,60대,여자,01,0,0
2010Q2,60대,여자,02,150,1
2010Q2,60대,여자,03,958,2
2010Q2,60대,여자,04,16229,5
2010Q2,60대,여자,05,3201,6
2010Q2,60대,여자,06,27185,5
2010Q2,60대,여자,07,16549,11
2010Q2,60대,여자,08,74324,35
